
> ohmycong@0.1.0 dev
> next dev -p 3001 -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.219.112:3001
- Environments: .env.development, .env

✓ Starting...
✓ Ready in 1303ms
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 804ms (compile: 660ms, render: 144ms)
 GET /api/auth/session 200 in 901ms (compile: 865ms, render: 35ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 654ms (compile: 620ms, render: 34ms)
 GET /members/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 66ms (compile: 48ms, render: 18ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 62ms (compile: 44ms, render: 18ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 62ms (compile: 46ms, render: 17ms)
 PUT /api/members/cmlw4ocyp00084afdowck8cu2 200 in 600ms (compile: 592ms, render: 9ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 13ms (compile: 2ms, render: 11ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 25ms (compile: 6ms, render: 18ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 13ms (compile: 6ms, render: 7ms)
 GET /members/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 4ms, render: 19ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 3ms, render: 12ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 4ms, render: 11ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 22ms (compile: 5ms, render: 17ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 5ms, render: 6ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 80ms (compile: 63ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 1580µs, render: 6ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 21ms (compile: 6ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 29ms (compile: 4ms, render: 25ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 38ms (compile: 4ms, render: 34ms)
 GET /api/auth/session 200 in 18ms (compile: 6ms, render: 11ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 47ms (compile: 22ms, render: 26ms)
 GET /members/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 20ms (compile: 2ms, render: 17ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 25ms (compile: 8ms, render: 17ms)
 GET /api/members?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 17ms (compile: 3ms, render: 14ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 4ms, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 3ms, render: 6ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 17ms (compile: 1933µs, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 6ms (compile: 1592µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 4ms, render: 18ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 7ms, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 34ms (compile: 4ms, render: 30ms)
 GET /api/auth/session 200 in 17ms (compile: 7ms, render: 10ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 14ms (compile: 8ms, render: 6ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 35ms (compile: 6ms, render: 29ms)
 GET /api/auth/session 200 in 14ms (compile: 4ms, render: 10ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 6ms, render: 10ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 13ms (compile: 6ms, render: 7ms)
✓ Compiled in 211ms
 GET /api/families 401 in 49ms (compile: 38ms, render: 11ms)
 GET /api/auth/session 200 in 27ms (compile: 11ms, render: 16ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 221ms (compile: 101ms, render: 121ms)
 GET /api/auth/session 200 in 17ms (compile: 7ms, render: 10ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 12ms (compile: 7ms, render: 5ms)
 GET / 200 in 54ms (compile: 37ms, render: 16ms)
 GET /api/families 200 in 16ms (compile: 5ms, render: 11ms)
 GET /api/families 200 in 9ms (compile: 1853µs, render: 7ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 17ms (compile: 4ms, render: 13ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 4ms, render: 4ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 26ms (compile: 5ms, render: 21ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 5ms, render: 6ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 1849µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 18ms (compile: 4ms, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 5ms, render: 5ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 1780µs, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 1851µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 18ms (compile: 4ms, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 3ms, render: 5ms)
✓ Compiled in 17ms
✓ Compiled in 20ms
✓ Compiled in 16ms
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 1843µs, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 1925µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 101ms (compile: 70ms, render: 30ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 5ms, render: 5ms)
✓ Compiled in 26ms
 GET /family/cmm7b57gh0000760ro2hnm2k3/dashboard 200 in 443ms (compile: 423ms, render: 20ms)
 GET /api/tasks?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 66ms (compile: 27ms, render: 39ms)
 GET /api/tasks?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 75ms (compile: 37ms, render: 38ms)
 GET /api/routines/today?memberId=cmlw4oq3500094afdqvr4u8ff 200 in 78ms (compile: 59ms, render: 19ms)
 GET /api/tasks?status=TODO&familyId=cmm7b57gh0000760ro2hnm2k3 200 in 82ms (compile: 66ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 26ms (compile: 10ms, render: 16ms)
 GET /api/routines/today?memberId=cmlw4oq3500094afdqvr4u8ff 200 in 28ms (compile: 15ms, render: 13ms)
 GET /api/tasks?status=TODO&familyId=cmm7b57gh0000760ro2hnm2k3 200 in 36ms (compile: 19ms, render: 17ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 177ms (compile: 64ms, render: 113ms)
 GET /api/auth/session 200 in 85ms (compile: 62ms, render: 23ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 10ms, render: 9ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3/dashboard 200 in 22ms (compile: 4ms, render: 19ms)
 GET /api/tasks?status=TODO&familyId=cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 4ms, render: 11ms)
 GET /api/routines/today?memberId=cmlw4ocyp00084afdowck8cu2 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/tasks?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 5ms, render: 11ms)
 GET /api/tasks?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 20ms (compile: 7ms, render: 13ms)
 GET /api/tasks?status=TODO&familyId=cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 11ms, render: 12ms)
 GET /api/routines/today?memberId=cmlw4ocyp00084afdowck8cu2 200 in 17ms (compile: 9ms, render: 8ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 4ms, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 40ms (compile: 6ms, render: 34ms)
 GET /api/auth/session 200 in 22ms (compile: 8ms, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 8ms, render: 6ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 36ms (compile: 4ms, render: 31ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/auth/session 200 in 24ms (compile: 7ms, render: 17ms)
✓ Compiled in 65ms
 GET /family/cmm7b57gh0000760ro2hnm2k3/dashboard 200 in 278ms (compile: 145ms, render: 132ms)
 GET /api/auth/session 200 in 55ms (compile: 9ms, render: 46ms)
 GET / 200 in 44ms (compile: 10ms, render: 33ms)
 GET /api/families 200 in 18ms (compile: 4ms, render: 15ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 100ms (compile: 76ms, render: 24ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 5ms, render: 5ms)
 GET /api/auth/session 200 in 20ms (compile: 8ms, render: 12ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 97ms (compile: 5ms, render: 92ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 46ms (compile: 34ms, render: 12ms)
 GET /api/auth/session 200 in 56ms (compile: 9ms, render: 48ms)
 GET / 200 in 40ms (compile: 11ms, render: 29ms)
 GET /api/families 200 in 19ms (compile: 7ms, render: 12ms)
 GET /api/families 200 in 14ms (compile: 3ms, render: 11ms)
 GET / 200 in 51ms (compile: 1716µs, render: 50ms)
 GET /api/auth/session 200 in 38ms (compile: 22ms, render: 16ms)
 GET /api/families 200 in 12ms (compile: 2ms, render: 10ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 25ms (compile: 6ms, render: 19ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 12ms (compile: 7ms, render: 5ms)
 PUT /api/members/cmlw4oybd000a4afdf1turpys 200 in 15ms (compile: 6ms, render: 9ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 4ms, render: 7ms)
 PUT /api/members/cmlw4oybd000a4afdf1turpys 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 5ms, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 34ms (compile: 3ms, render: 30ms)
 GET /api/auth/session 200 in 24ms (compile: 7ms, render: 17ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 22ms (compile: 9ms, render: 13ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 30ms (compile: 7ms, render: 23ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 4ms, render: 4ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 2ms, render: 6ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 24ms (compile: 5ms, render: 18ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 5ms, render: 4ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 1729µs, render: 13ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 7ms, render: 4ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 6ms (compile: 1633µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 4ms, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 5ms, render: 5ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 1692µs, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 3ms, render: 4ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 3ms, render: 4ms)
✓ Compiled in 32ms
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 124ms (compile: 77ms, render: 47ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 6ms, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 97ms (compile: 5ms, render: 91ms)
 GET /api/auth/session 200 in 24ms (compile: 12ms, render: 12ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 4ms, render: 6ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 3ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 5ms (compile: 1480µs, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 4ms, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 5ms, render: 5ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 1619µs, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 1921µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 5ms, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 4ms, render: 5ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 1692µs, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 5ms (compile: 1536µs, render: 3ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 19ms (compile: 5ms, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 4ms, render: 4ms)
 GET / 200 in 26ms (compile: 5ms, render: 22ms)
 GET /api/families 200 in 18ms (compile: 3ms, render: 15ms)
 GET /api/families 200 in 13ms (compile: 3ms, render: 10ms)
